Date,Carbohydrates,Fiber,Protein,Fat
2023-01-03,654.38,0.0,113.28,260.07
2023-01-05,831.38,0.0,0.46,15.31
2023-01-07,526.7,0.0,179.95,106.7
2023-01-09,34.35,18.42,9.69,11.37
2023-01-10,1183.45,0.0,0.0,0.0
2023-01-12,44.8,8.5,20.52,6.58
2023-01-13,1602.0,0.0,40.0,8.0
2023-01-14,226.0,0.0,33.6,113.2
2023-01-16,1658.0,32.8,186.8,160.38
2023-01-17,2103.38,0.0,87.02,12.0
2023-01-18,932.29,1.11,130.05,297.96
2023-01-20,123.3,0.0,265.5,460.8
2023-01-25,87.83,0.0,318.67,1542.42
2023-01-31,201.02,22.32,22.69,9.97
2023-02-01,415.45,20.92,45.78,96.57
2023-02-03,305.31,2.09,63.49,111.61
2023-02-06,563.62,2.25,40.88,59.15
2023-02-07,474.73,0.62,35.02,20.56
2023-02-10,615.58,3.02,22.86,17.6
2023-02-11,8150.0,0.0,750.0,90.0
2023-02-13,311.53,9.53,42.52,91.67
2023-02-14,599.91,10.3,43.15,122.89
2023-02-15,805.53,0.0,3.32,9.6
2023-02-16,798.04,1.67,214.95,795.54
2023-02-17,526.02,0.0,47.52,5.28
2023-02-18,11025.0,0.0,0.0,0.0
2023-02-20,40.88,0.0,0.0,0.0
2023-02-21,2458.86,21.85,65.58,32.87
2023-02-22,2716.38,0.0,68.75,22.75
2023-02-23,1258.38,24.37,89.94,82.36
2023-02-24,4857.14,15.24,386.14,680.22
2023-02-27,0.0,0.0,0.0,830.0
2023-03-01,316.25,0.25,2.0,16.0
2023-03-03,20.16,0.0,49.6,27.2
2023-03-07,173.39,2.67,12.59,52.06
2023-03-09,1021.4,0.0,7.2,16.0
2023-03-10,1096.58,24.92,85.81,30.98
2023-03-11,105.0,10.0,128.35,97.75
2023-03-12,323.2,0.0,14.4,2.4
2023-03-14,400.6,0.2,20.4,28.8
2023-03-16,534.05,0.0,94.03,13.63
2023-03-17,3860.0,0.0,355.0,145.0
2023-03-18,1439.76,33.6,84.0,52.08
2023-03-20,476.82,33.56,39.62,217.24
2023-03-22,691.6,0.0,60.26,41.63
2023-03-23,140.0,0.0,80.0,165.0
2023-03-29,822.95,11.67,264.89,137.22
2023-03-30,382.89,0.0,66.38,41.79
2023-03-31,999.0,0.0,0.0,0.0
2023-04-05,15440.0,0.0,1420.0,580.0
2023-04-08,21.51,0.0,8.68,4.45
2023-04-13,72.25,17.0,15.3,1.7
2023-04-14,61.75,0.0,0.75,0.0
2023-04-17,180.78,10.33,18.08,62.0
2023-04-18,244.59,0.0,15.47,105.19
2023-04-19,2254.83,0.0,16.75,11.83
2023-04-29,311.0,0.0,406.67,359.5
2023-05-02,441.15,8.4,181.84,254.64
2023-05-06,27.5,0.0,0.0,0.0
2023-05-08,1660.14,67.01,142.75,673.22
2023-05-09,10.3,0.0,1.2,4.8
2023-05-10,537.33,0.0,0.0,0.0
2023-05-12,11857.23,0.0,1114.79,3177.1
2023-05-15,172.16,24.46,19.65,26.96
2023-05-16,313.77,2.02,23.47,74.73
2023-05-17,87.67,0.17,1.17,0.8
2023-05-18,314.49,0.0,0.0,7.27
2023-05-19,376.07,7.37,111.5,169.18
2023-05-22,3861.4,0.0,355.2,145.0
2023-05-23,1335.0,0.0,28.75,70.0
2023-05-24,241.45,0.0,47.35,16.39
2023-05-29,1035.15,7.31,30.01,4.57
2023-06-01,587.52,0.0,25.68,16.75
2023-06-03,313.45,18.69,82.67,133.5
2023-06-07,53.57,0.0,0.1,0.0
2023-06-09,356.8,12.46,38.92,157.46
2023-06-12,381.05,8.78,19.27,1.0
2023-06-13,2286.84,0.0,104.1,41.34
2023-06-15,486.62,0.0,21.88,1.25
2023-06-19,166.67,0.0,22.63,80.08
2023-06-20,288.31,0.2,25.3,14.54
2023-06-21,579.95,0.0,26.06,112.96
2023-06-22,19224.0,0.0,480.0,96.0
2023-06-23,54.66,0.3,6.43,10.8
2023-06-25,263.58,0.0,31.02,55.92
2023-06-26,321.57,6.61,0.0,0.0
2023-06-27,100.0,0.0,0.0,0.0
2023-06-28,1079.08,31.39,25.59,55.64
2023-06-30,135.99,21.6,10.01,6.98
2023-07-03,479.6,1.41,18.5,42.19
2023-07-04,236.16,7.15,20.17,61.3
2023-07-05,265.46,1.65,37.79,90.78
2023-07-06,119.82,3.43,11.48,24.21
2023-07-07,1111.8,0.0,35.82,5.33
2023-07-11,760.34,0.0,68.07,26.54
2023-07-12,62.8,0.0,6.4,0.0
2023-07-15,400.0,0.0,88.0,48.0
2023-07-17,614.92,22.46,97.66,90.57
2023-07-18,443.87,0.2,1.2,0.6
2023-07-19,395.4,0.0,43.2,175.5
2023-07-20,1391.73,81.23,82.37,315.33
2023-07-21,2784.16,1.68,190.96,142.72
2023-07-24,287.7,44.22,132.24,287.28
2023-07-27,1112.3,20.0,59.8,42.5
2023-07-28,2177.33,168.56,148.4,84.54
2023-07-31,540.0,0.0,72.0,144.0
2023-08-01,559.85,0.0,13.33,94.57
2023-08-03,2403.0,0.0,60.0,12.0
2023-08-04,1714.26,0.0,61.42,316.67
2023-08-08,1229.44,2.22,5.78,43.33
2023-08-10,1021.85,0.0,39.82,4.84
2023-08-11,2315.07,0.0,238.32,1204.08
2023-08-12,640.05,0.0,19.63,0.27
2023-08-14,533.88,0.0,4.0,4.0
2023-08-15,289.79,0.0,3.71,2.37
2023-08-16,4807.72,89.86,266.96,1057.1
2023-08-17,127.06,94.29,38.71,42.04
2023-08-19,224.0,0.0,32.5,88.5
2023-08-21,750.44,7.78,70.17,163.71
2023-08-22,3550.24,0.0,153.64,0.0
2023-08-23,1281.45,0.0,1.04,9.97
2023-08-24,4074.63,15.5,355.81,276.03
2023-08-25,2103.32,18.72,227.45,303.97
2023-08-28,2028.65,98.23,99.2,584.2
2023-09-01,920.66,3.83,80.58,271.11
2023-09-04,336.35,8.55,22.08,78.8
2023-09-05,314.0,0.0,20.03,131.23
2023-09-07,565.18,65.02,22.4,11.78
2023-09-08,3552.09,4.41,93.12,22.29
2023-09-09,813.53,4.15,275.27,332.9
2023-09-12,128.86,0.0,5.06,0.0
2023-09-14,8310.61,2.4,298.98,957.43
2023-09-15,175.36,2.29,20.21,45.07
2023-09-19,374.0,2.62,12.62,0.0
2023-09-21,18088.88,56.35,1322.48,5072.02
2023-09-22,3997.07,6.24,371.85,193.88
